amount_type.label,amount_type.code,financial_period.period,period_length.length,financial_year_end.year,item.composition,item.return_form_structure,item.position_in_return_form,item.label,item.code,demarcation.label,demarcation.code,amount.sum
Audited Actual,AUDA,2019,year,2019,,heading,1,COMMUNITY WEALTH / EQUITY,0100,Buffalo City,BUF,
Audited Actual,AUDA,2019,year,2019,,heading,2,Community Wealth,0110,Buffalo City,BUF,
Audited Actual,AUDA,2019,year,2019,,line_item,3,Housing Development Fund,0600,Buffalo City,BUF,
Audited Actual,AUDA,2019,year,2019,,line_item,4,Reserves,0300,Buffalo City,BUF,9866999401
Audited Actual,AUDA,2019,year,2019,,line_item,5,Accumulated Surplus/(Deficit),0500,Buffalo City,BUF,11020151125
Audited Actual,AUDA,2019,year,2019,,line_item,6,Minorities Interests,0680,Buffalo City,BUF,
Audited Actual,AUDA,2019,year,2019,"sum(0600, 0300, 0500, 0680)",subtotal,7,Total Community Wealth / Equity,0690,Buffalo City,BUF,20887150526
Audited Actual,AUDA,2019,year,2019,,heading,8,Non-Current Liabilities,0700,Buffalo City,BUF,
Audited Actual,AUDA,2019,year,2019,,line_item,9,Borrowing,0900,Buffalo City,BUF,287580582
Audited Actual,AUDA,2019,year,2019,,line_item,10,Non-Current Provisions,0910,Buffalo City,BUF,690721570
Audited Actual,AUDA,2019,year,2019,"sum(0900, 0910)",subtotal,11,Total Non-Current Liabilities,1000,Buffalo City,BUF,978302152
Audited Actual,AUDA,2019,year,2019,,heading,12,Current Liabilities,2300,Buffalo City,BUF,
Audited Actual,AUDA,2019,year,2019,,line_item,13,Consumer Deposits,2400,Buffalo City,BUF,64109019
Audited Actual,AUDA,2019,year,2019,,line_item,14,Provisions,2500,Buffalo City,BUF,295252541
Audited Actual,AUDA,2019,year,2019,,line_item,15,Creditors,2600,Buffalo City,BUF,1086909811
Audited Actual,AUDA,2019,year,2019,,line_item,16,Conditional Grants and Receipts,2610,Buffalo City,BUF,210610282
Audited Actual,AUDA,2019,year,2019,,line_item,17,Bank Overdraft,2700,Buffalo City,BUF,
Audited Actual,AUDA,2019,year,2019,,line_item,18,Borrowing,2800,Buffalo City,BUF,57973556
Audited Actual,AUDA,2019,year,2019,"sum(2400, 2500, 2600, 2610, 2700, 2800)",subtotal,19,Total Current Liabilities,1600,Buffalo City,BUF,1714855209
Audited Actual,AUDA,2019,year,2019,"sum(0690 1000, 1600)",subtotal,20,Total Net Assets and Liabilities,1650,Buffalo City,BUF,23580307887
Audited Actual,AUDA,2019,year,2019,,heading,21,ASSETS,1100,Buffalo City,BUF,
Audited Actual,AUDA,2019,year,2019,,heading,22,Non-Current Assets,1200,Buffalo City,BUF,
Audited Actual,AUDA,2019,year,2019,,line_item,23,Property Plant and Equipment,1300,Buffalo City,BUF,19744457335
Audited Actual,AUDA,2019,year,2019,,line_item,24,Non-Current Investments,1400,Buffalo City,BUF,
Audited Actual,AUDA,2019,year,2019,,line_item,25,Long-term Receivables,1500,Buffalo City,BUF,
Audited Actual,AUDA,2019,year,2019,,line_item,26,Investment Property,1401,Buffalo City,BUF,401546000
