amount_type.label,amount_type.code,financial_period.period,period_length.length,financial_year_end.year,item.composition,item.return_form_structure,item.position_in_return_form,item.label,item.code,demarcation.label,demarcation.code,amount.sum
Audited Actual,AUDA,2018,year,2018,,heading,1,COMMUNITY WEALTH / EQUITY,100,Buffalo City,BUF,
Audited Actual,AUDA,2018,year,2018,,heading,2,Community Wealth,110,Buffalo City,BUF,
Audited Actual,AUDA,2018,year,2018,,line_item,3,Housing Development Fund,600,Buffalo City,BUF,
Audited Actual,AUDA,2018,year,2018,,line_item,4,Reserves,300,Buffalo City,BUF,9046230471
Audited Actual,AUDA,2018,year,2018,,line_item,5,Accumulated Surplus/(Deficit),500,Buffalo City,BUF,10550324970
Audited Actual,AUDA,2018,year,2018,,line_item,6,Minorities Interests,680,Buffalo City,BUF,
Audited Actual,AUDA,2018,year,2018,"sum(0600, 0300, 0500, 0680)",subtotal,7,Total Community Wealth / Equity,690,Buffalo City,BUF,19596555441
Audited Actual,AUDA,2018,year,2018,,heading,8,Non-Current Liabilities,700,Buffalo City,BUF,
Audited Actual,AUDA,2018,year,2018,,line_item,9,Borrowing,900,Buffalo City,BUF,345554088
Audited Actual,AUDA,2018,year,2018,,line_item,10,Non-Current Provisions,910,Buffalo City,BUF,698648090
Audited Actual,AUDA,2018,year,2018,"sum(0900, 0910)",subtotal,11,Total Non-Current Liabilities,1000,Buffalo City,BUF,1044202178
Audited Actual,AUDA,2018,year,2018,,heading,12,Current Liabilities,2300,Buffalo City,BUF,
Audited Actual,AUDA,2018,year,2018,,line_item,13,Consumer Deposits,2400,Buffalo City,BUF,60012613
Audited Actual,AUDA,2018,year,2018,,line_item,14,Provisions,2500,Buffalo City,BUF,286465326
Audited Actual,AUDA,2018,year,2018,,line_item,15,Creditors,2600,Buffalo City,BUF,1097242539
Audited Actual,AUDA,2018,year,2018,,line_item,16,Conditional Grants and Receipts,2610,Buffalo City,BUF,245352358
Audited Actual,AUDA,2018,year,2018,,line_item,17,Bank Overdraft,2700,Buffalo City,BUF,
Audited Actual,AUDA,2018,year,2018,,line_item,18,Borrowing,2800,Buffalo City,BUF,52572023
Audited Actual,AUDA,2018,year,2018,"sum(2400, 2500, 2600, 2610, 2700, 2800)",subtotal,19,Total Current Liabilities,1600,Buffalo City,BUF,1741644859
Audited Actual,AUDA,2018,year,2018,"sum(0690 1000, 1600)",subtotal,20,Total Net Assets and Liabilities,1650,Buffalo City,BUF,22382402478
Audited Actual,AUDA,2018,year,2018,,heading,21,ASSETS,1100,Buffalo City,BUF,
Audited Actual,AUDA,2018,year,2018,,heading,22,Non-Current Assets,1200,Buffalo City,BUF,
Audited Actual,AUDA,2018,year,2018,,line_item,23,Property Plant and Equipment,1300,Buffalo City,BUF,18227831377
Audited Actual,AUDA,2018,year,2018,,line_item,24,Non-Current Investments,1400,Buffalo City,BUF,
Audited Actual,AUDA,2018,year,2018,,line_item,25,Long-term Receivables,1500,Buffalo City,BUF,
Audited Actual,AUDA,2018,year,2018,,line_item,26,Investment Property,1401,Buffalo City,BUF,392622726
Audited Actual,AUDA,2018,year,2018,,line_item,27,Investment in Associate,1402,Buffalo City,BUF,567924996
Audited Actual,AUDA,2018,year,2018,,line_item,28,Agricultural,1403,Buffalo City,BUF,
Audited Actual,AUDA,2018,year,2018,,line_item,29,Biological,1404,Buffalo City,BUF,
Audited Actual,AUDA,2018,year,2018,,line_item,30,Intangible,1405,Buffalo City,BUF,23863353
Audited Actual,AUDA,2018,year,2018,,line_item,31,Other Non-Current Assets,1406,Buffalo City,BUF,50381926
Audited Actual,AUDA,2018,year,2018,"sum(1300, 1400, 1500, 1401, 1402, 1403, 1404, 1405, 1406)",subtotal,32,Total Non-Current Assets,2900,Buffalo City,BUF,19262624378
Audited Actual,AUDA,2018,year,2018,,heading,33,Current Assets,1700,Buffalo City,BUF,
Audited Actual,AUDA,2018,year,2018,,line_item,34,Call Investment Deposits,2200,Buffalo City,BUF,1660392952
Audited Actual,AUDA,2018,year,2018,,line_item,35,Inventory,1900,Buffalo City,BUF,42789558
Audited Actual,AUDA,2018,year,2018,,line_item,36,Consumer Debtors,2000,Buffalo City,BUF,897282992
Audited Actual,AUDA,2018,year,2018,,line_item,37,Other Debtors,2010,Buffalo City,BUF,354208962
Audited Actual,AUDA,2018,year,2018,,line_item,38,Current Portion Of Long-Term Receivables,2100,Buffalo City,BUF,
Audited Actual,AUDA,2018,year,2018,,line_item,39,Cash,1800,Buffalo City,BUF,165103636
Audited Actual,AUDA,2018,year,2018,"sum(2200, 1900, 2000, 2010, 2100, 1800)",subtotal,40,Total Current Assets,2150,Buffalo City,BUF,3119778100
Audited Actual,AUDA,2018,year,2018,"sum(2900, 2150)",subtotal,41,Total Assets,3000,Buffalo City,BUF,22382402478
Audited Actual,AUDA,2018,year,2018,,heading,1,COMMUNITY WEALTH / EQUITY,100,Cape Town,CPT,
Audited Actual,AUDA,2018,year,2018,,heading,2,Community Wealth,110,Cape Town,CPT,
Audited Actual,AUDA,2018,year,2018,,line_item,3,Housing Development Fund,600,Cape Town,CPT,359289978
Audited Actual,AUDA,2018,year,2018,,line_item,4,Reserves,300,Cape Town,CPT,3105791523
Audited Actual,AUDA,2018,year,2018,,line_item,5,Accumulated Surplus/(Deficit),500,Cape Town,CPT,39078270591
Audited Actual,AUDA,2018,year,2018,,line_item,6,Minorities Interests,680,Cape Town,CPT,317953730
Audited Actual,AUDA,2018,year,2018,"sum(0600, 0300, 0500, 0680)",subtotal,7,Total Community Wealth / Equity,690,Cape Town,CPT,42861305822
Audited Actual,AUDA,2018,year,2018,,heading,8,Non-Current Liabilities,700,Cape Town,CPT,
Audited Actual,AUDA,2018,year,2018,,line_item,9,Borrowing,900,Cape Town,CPT,6501226841
Audited Actual,AUDA,2018,year,2018,,line_item,10,Non-Current Provisions,910,Cape Town,CPT,6225176418
Audited Actual,AUDA,2018,year,2018,"sum(0900, 0910)",subtotal,11,Total Non-Current Liabilities,1000,Cape Town,CPT,12726403259
Audited Actual,AUDA,2018,year,2018,,heading,12,Current Liabilities,2300,Cape Town,CPT,
Audited Actual,AUDA,2018,year,2018,,line_item,13,Consumer Deposits,2400,Cape Town,CPT,409823184
Audited Actual,AUDA,2018,year,2018,,line_item,14,Provisions,2500,Cape Town,CPT,1027793174
Audited Actual,AUDA,2018,year,2018,,line_item,15,Creditors,2600,Cape Town,CPT,6110107785
Audited Actual,AUDA,2018,year,2018,,line_item,16,Conditional Grants and Receipts,2610,Cape Town,CPT,1067744915
Audited Actual,AUDA,2018,year,2018,,line_item,17,Bank Overdraft,2700,Cape Town,CPT,
Audited Actual,AUDA,2018,year,2018,,line_item,18,Borrowing,2800,Cape Town,CPT,378608477
Audited Actual,AUDA,2018,year,2018,"sum(2400, 2500, 2600, 2610, 2700, 2800)",subtotal,19,Total Current Liabilities,1600,Cape Town,CPT,8994077535
Audited Actual,AUDA,2018,year,2018,"sum(0690 1000, 1600)",subtotal,20,Total Net Assets and Liabilities,1650,Cape Town,CPT,64581786616
Audited Actual,AUDA,2018,year,2018,,heading,21,ASSETS,1100,Cape Town,CPT,
Audited Actual,AUDA,2018,year,2018,,heading,22,Non-Current Assets,1200,Cape Town,CPT,
Audited Actual,AUDA,2018,year,2018,,line_item,23,Property Plant and Equipment,1300,Cape Town,CPT,43736666684
Audited Actual,AUDA,2018,year,2018,,line_item,24,Non-Current Investments,1400,Cape Town,CPT,4590942785
Audited Actual,AUDA,2018,year,2018,,line_item,25,Long-term Receivables,1500,Cape Town,CPT,217750039
Audited Actual,AUDA,2018,year,2018,,line_item,26,Investment Property,1401,Cape Town,CPT,584713404
Audited Actual,AUDA,2018,year,2018,,line_item,27,Investment in Associate,1402,Cape Town,CPT,
Audited Actual,AUDA,2018,year,2018,,line_item,28,Agricultural,1403,Cape Town,CPT,
Audited Actual,AUDA,2018,year,2018,,line_item,29,Biological,1404,Cape Town,CPT,
Audited Actual,AUDA,2018,year,2018,,line_item,30,Intangible,1405,Cape Town,CPT,716039834
Audited Actual,AUDA,2018,year,2018,,line_item,31,Other Non-Current Assets,1406,Cape Town,CPT,145334087
Audited Actual,AUDA,2018,year,2018,"sum(1300, 1400, 1500, 1401, 1402, 1403, 1404, 1405, 1406)",subtotal,32,Total Non-Current Assets,2900,Cape Town,CPT,49991446833
Audited Actual,AUDA,2018,year,2018,,heading,33,Current Assets,1700,Cape Town,CPT,
Audited Actual,AUDA,2018,year,2018,,line_item,34,Call Investment Deposits,2200,Cape Town,CPT,7437051180
Audited Actual,AUDA,2018,year,2018,,line_item,35,Inventory,1900,Cape Town,CPT,473318034
Audited Actual,AUDA,2018,year,2018,,line_item,36,Consumer Debtors,2000,Cape Town,CPT,5623090972
Audited Actual,AUDA,2018,year,2018,,line_item,37,Other Debtors,2010,Cape Town,CPT,691240305
Audited Actual,AUDA,2018,year,2018,,line_item,38,Current Portion Of Long-Term Receivables,2100,Cape Town,CPT,14290440
Audited Actual,AUDA,2018,year,2018,,line_item,39,Cash,1800,Cape Town,CPT,351348850
Audited Actual,AUDA,2018,year,2018,"sum(2200, 1900, 2000, 2010, 2100, 1800)",subtotal,40,Total Current Assets,2150,Cape Town,CPT,14590339781
Audited Actual,AUDA,2018,year,2018,"sum(2900, 2150)",subtotal,41,Total Assets,3000,Cape Town,CPT,64581786614
Audited Actual,AUDA,2018,year,2018,,heading,1,COMMUNITY WEALTH / EQUITY,100,City of Ekurhuleni,EKU,
Audited Actual,AUDA,2018,year,2018,,heading,2,Community Wealth,110,City of Ekurhuleni,EKU,
Audited Actual,AUDA,2018,year,2018,,line_item,3,Housing Development Fund,600,City of Ekurhuleni,EKU,
Audited Actual,AUDA,2018,year,2018,,line_item,4,Reserves,300,City of Ekurhuleni,EKU,
Audited Actual,AUDA,2018,year,2018,,line_item,5,Accumulated Surplus/(Deficit),500,City of Ekurhuleni,EKU,50751561976
Audited Actual,AUDA,2018,year,2018,,line_item,6,Minorities Interests,680,City of Ekurhuleni,EKU,
