amount_type.label,amount_type.code,financial_period.period,period_length.length,financial_year_end.year,item.composition,item.return_form_structure,item.position_in_return_form,item.label,item.code,demarcation.label,demarcation.code,amount.sum
Audited Actual,AUDA,2019,year,2019,,heading,1,Cash Receipts by Source,3000,Buffalo City,BUF,0
Audited Actual,AUDA,2019,year,2019,,line_item,2,Property rates,3010,Buffalo City,BUF,1295502964
Audited Actual,AUDA,2019,year,2019,,line_item,3,Property rates - penalties & collection charges,3020,Buffalo City,BUF,0
Audited Actual,AUDA,2019,year,2019,,line_item,4,Service charges - electricity revenue,3030,Buffalo City,BUF,1716442537
Audited Actual,AUDA,2019,year,2019,,line_item,5,Service charges - water revenue,3040,Buffalo City,BUF,498963346
Audited Actual,AUDA,2019,year,2019,,line_item,6,Service charges - sanitation revenue,3050,Buffalo City,BUF,328902160
Audited Actual,AUDA,2019,year,2019,,line_item,7,Service charges - refuse revenue,3060,Buffalo City,BUF,251916126
Audited Actual,AUDA,2019,year,2019,,line_item,8,Service charges - other,3070,Buffalo City,BUF,27688363
Audited Actual,AUDA,2019,year,2019,,line_item,9,Rental of facilities and equipment,3080,Buffalo City,BUF,20704443
Audited Actual,AUDA,2019,year,2019,,line_item,10,Interest earned - external investments,3090,Buffalo City,BUF,98690424
Audited Actual,AUDA,2019,year,2019,,line_item,11,Interest earned - outstanding debtors,3100,Buffalo City,BUF,67093405
Audited Actual,AUDA,2019,year,2019,,line_item,12,Dividends received,3110,Buffalo City,BUF,0
Audited Actual,AUDA,2019,year,2019,,line_item,13,Fines,3120,Buffalo City,BUF,24938282
Audited Actual,AUDA,2019,year,2019,,line_item,14,Licences and permits,3130,Buffalo City,BUF,14300355
Audited Actual,AUDA,2019,year,2019,,line_item,15,Agency services,3140,Buffalo City,BUF,0
Audited Actual,AUDA,2019,year,2019,,line_item,16,Transfer receipts - operational,3150,Buffalo City,BUF,921187160
Audited Actual,AUDA,2019,year,2019,,line_item,17,Other revenue,3160,Buffalo City,BUF,384846926
Audited Actual,AUDA,2019,year,2019,"sum(3010, 3020, 3030, 3040, 3050, 3060, 3070, 3080, 3090, 3100, 3110, 3120, 3130, 3140, 3150, 3160)",subtotal,18,Cash Receipts by Source,3170,Buffalo City,BUF,5651176491
Audited Actual,AUDA,2019,year,2019,,heading,19,Other Cash Flows/Receipts by Source,3180,Buffalo City,BUF,0
Audited Actual,AUDA,2019,year,2019,,line_item,20,Transfer receipts - capital,3190,Buffalo City,BUF,998245135
Audited Actual,AUDA,2019,year,2019,,line_item,21,Contributions recognised - capital & Contributed assets,3200,Buffalo City,BUF,0
Audited Actual,AUDA,2019,year,2019,,line_item,22,Proceeds on disposal of PPE,3210,Buffalo City,BUF,2226048
Audited Actual,AUDA,2019,year,2019,,line_item,23,Short term loans,3220,Buffalo City,BUF,0
Audited Actual,AUDA,2019,year,2019,,line_item,24,Borrowing long term/refinancing,3230,Buffalo City,BUF,0
Audited Actual,AUDA,2019,year,2019,,line_item,25,Increase (decrease) in consumer deposits,3240,Buffalo City,BUF,0
Audited Actual,AUDA,2019,year,2019,,line_item,26,Decrease (Increase) in non-current debtors,3250,Buffalo City,BUF,0
Audited Actual,AUDA,2019,year,2019,,line_item,27,Decrease (increase) other non-current receivables,3260,Buffalo City,BUF,0
Audited Actual,AUDA,2019,year,2019,,line_item,28,Decrease (increase) in non-current investments,3270,Buffalo City,BUF,0
Audited Actual,AUDA,2019,year,2019,"sum(3190, 3200, 3210, 3220, 3230, 3240, 3250, 3260, 3270, 3170)",subtotal,29,Total Cash Receipts by Source,3280,Buffalo City,BUF,6651647674
Audited Actual,AUDA,2019,year,2019,,heading,30,Cash Payments by Type,4000,Buffalo City,BUF,0
Audited Actual,AUDA,2019,year,2019,,line_item,31,Employee related costs,4010,Buffalo City,BUF,2049668803
Audited Actual,AUDA,2019,year,2019,,line_item,32,Remuneration of councillors,4020,Buffalo City,BUF,63065986
Audited Actual,AUDA,2019,year,2019,,line_item,33,Collection costs,4030,Buffalo City,BUF,0
Audited Actual,AUDA,2019,year,2019,,line_item,34,Interest paid,4040,Buffalo City,BUF,38467001
Audited Actual,AUDA,2019,year,2019,,line_item,35,Bulk purchases - Electricity,4050,Buffalo City,BUF,1395328547
Audited Actual,AUDA,2019,year,2019,,line_item,36,Bulk purchases - Water & Sewer,4060,Buffalo City,BUF,233628257
Audited Actual,AUDA,2019,year,2019,,line_item,37,Other materials,4070,Buffalo City,BUF,392895827
Audited Actual,AUDA,2019,year,2019,,line_item,38,Contracted services,4080,Buffalo City,BUF,6449136
Audited Actual,AUDA,2019,year,2019,,line_item,39,Grants and subsidies paid - other municipalities,4090,Buffalo City,BUF,0
Audited Actual,AUDA,2019,year,2019,,line_item,40,Grants and subsidies paid - other,4100,Buffalo City,BUF,47193237
Audited Actual,AUDA,2019,year,2019,,line_item,41,General expenses,4110,Buffalo City,BUF,903293316
Audited Actual,AUDA,2019,year,2019,"sum(4010, 4020, 4030, 4040, 4050, 4060, 4070, 4080, 4090, 4100, 4110)",subtotal,42,Cash Payments by Type,4120,Buffalo City,BUF,5129990110
Audited Actual,AUDA,2019,year,2019,,heading,43,Other Cash Flows/Payments by Type,4130,Buffalo City,BUF,0
Audited Actual,AUDA,2019,year,2019,,line_item,44,Capital assets,4140,Buffalo City,BUF,1760014735
Audited Actual,AUDA,2019,year,2019,,line_item,45,Repayment of borrowing,4150,Buffalo City,BUF,52572023
Audited Actual,AUDA,2019,year,2019,,line_item,46,Other Cash Flows/Payments,4160,Buffalo City,BUF,362934482
Audited Actual,AUDA,2019,year,2019,"sum(4140, 4150, 4160, 4120)",subtotal,47,Total Cash Payments by Type,4170,Buffalo City,BUF,7305511350
Audited Actual,AUDA,2019,year,2019,3280 - 4170,subtotal,48,Net Increase/(Decrease) in Cash Held,4180,Buffalo City,BUF,-653863676
Audited Actual,AUDA,2019,year,2019,,line_item,49,Cash/cash equivalents at the month/year begin:,4190,Buffalo City,BUF,1825496588
Audited Actual,AUDA,2019,year,2019,4180 + 4190,subtotal,50,Cash/cash equivalents at the month/year end:,4200,Buffalo City,BUF,1171632912
Audited Actual,AUDA,2019,year,2019,,heading,1,Cash Receipts by Source,3000,Cape Town,CPT,0
Audited Actual,AUDA,2019,year,2019,,line_item,2,Property rates,3010,Cape Town,CPT,38816489000
Audited Actual,AUDA,2019,year,2019,,line_item,3,Property rates - penalties & collection charges,3020,Cape Town,CPT,0
Audited Actual,AUDA,2019,year,2019,,line_item,4,Service charges - electricity revenue,3030,Cape Town,CPT,0
Audited Actual,AUDA,2019,year,2019,,line_item,5,Service charges - water revenue,3040,Cape Town,CPT,0
Audited Actual,AUDA,2019,year,2019,,line_item,6,Service charges - sanitation revenue,3050,Cape Town,CPT,0
Audited Actual,AUDA,2019,year,2019,,line_item,7,Service charges - refuse revenue,3060,Cape Town,CPT,0
Audited Actual,AUDA,2019,year,2019,,line_item,8,Service charges - other,3070,Cape Town,CPT,0
Audited Actual,AUDA,2019,year,2019,,line_item,9,Rental of facilities and equipment,3080,Cape Town,CPT,0
Audited Actual,AUDA,2019,year,2019,,line_item,10,Interest earned - external investments,3090,Cape Town,CPT,1193654000
Audited Actual,AUDA,2019,year,2019,,line_item,11,Interest earned - outstanding debtors,3100,Cape Town,CPT,254134000
Audited Actual,AUDA,2019,year,2019,,line_item,12,Dividends received,3110,Cape Town,CPT,0
Audited Actual,AUDA,2019,year,2019,,line_item,13,Fines,3120,Cape Town,CPT,0
Audited Actual,AUDA,2019,year,2019,,line_item,14,Licences and permits,3130,Cape Town,CPT,0
Audited Actual,AUDA,2019,year,2019,,line_item,15,Agency services,3140,Cape Town,CPT,0
Audited Actual,AUDA,2019,year,2019,,line_item,16,Transfer receipts - operational,3150,Cape Town,CPT,0
Audited Actual,AUDA,2019,year,2019,,line_item,17,Other revenue,3160,Cape Town,CPT,0
Audited Actual,AUDA,2019,year,2019,"sum(3010, 3020, 3030, 3040, 3050, 3060, 3070, 3080, 3090, 3100, 3110, 3120, 3130, 3140, 3150, 3160)",subtotal,18,Cash Receipts by Source,3170,Cape Town,CPT,40264277000
Audited Actual,AUDA,2019,year,2019,,heading,19,Other Cash Flows/Receipts by Source,3180,Cape Town,CPT,0
Audited Actual,AUDA,2019,year,2019,,line_item,20,Transfer receipts - capital,3190,Cape Town,CPT,0
Audited Actual,AUDA,2019,year,2019,,line_item,21,Contributions recognised - capital & Contributed assets,3200,Cape Town,CPT,0
Audited Actual,AUDA,2019,year,2019,,line_item,22,Proceeds on disposal of PPE,3210,Cape Town,CPT,152679000
Audited Actual,AUDA,2019,year,2019,,line_item,23,Short term loans,3220,Cape Town,CPT,0
Audited Actual,AUDA,2019,year,2019,,line_item,24,Borrowing long term/refinancing,3230,Cape Town,CPT,196420000
Audited Actual,AUDA,2019,year,2019,,line_item,25,Increase (decrease) in consumer deposits,3240,Cape Town,CPT,42524000
Audited Actual,AUDA,2019,year,2019,,line_item,26,Decrease (Increase) in non-current debtors,3250,Cape Town,CPT,0
Audited Actual,AUDA,2019,year,2019,,line_item,27,Decrease (increase) other non-current receivables,3260,Cape Town,CPT,7513000
Audited Actual,AUDA,2019,year,2019,,line_item,28,Decrease (increase) in non-current investments,3270,Cape Town,CPT,-936183000
Audited Actual,AUDA,2019,year,2019,"sum(3190, 3200, 3210, 3220, 3230, 3240, 3250, 3260, 3270, 3170)",subtotal,29,Total Cash Receipts by Source,3280,Cape Town,CPT,39727230000
Audited Actual,AUDA,2019,year,2019,,heading,30,Cash Payments by Type,4000,Cape Town,CPT,0
Audited Actual,AUDA,2019,year,2019,,line_item,31,Employee related costs,4010,Cape Town,CPT,12429037000
Audited Actual,AUDA,2019,year,2019,,line_item,32,Remuneration of councillors,4020,Cape Town,CPT,153100000
Audited Actual,AUDA,2019,year,2019,,line_item,33,Collection costs,4030,Cape Town,CPT,0
Audited Actual,AUDA,2019,year,2019,,line_item,34,Interest paid,4040,Cape Town,CPT,693161000
Audited Actual,AUDA,2019,year,2019,,line_item,35,Bulk purchases - Electricity,4050,Cape Town,CPT,8281772000
Audited Actual,AUDA,2019,year,2019,,line_item,36,Bulk purchases - Water & Sewer,4060,Cape Town,CPT,362849000
Audited Actual,AUDA,2019,year,2019,,line_item,37,Other materials,4070,Cape Town,CPT,0
Audited Actual,AUDA,2019,year,2019,,line_item,38,Contracted services,4080,Cape Town,CPT,2066606000
Audited Actual,AUDA,2019,year,2019,,line_item,39,Grants and subsidies paid - other municipalities,4090,Cape Town,CPT,0
Audited Actual,AUDA,2019,year,2019,,line_item,40,Grants and subsidies paid - other,4100,Cape Town,CPT,0
Audited Actual,AUDA,2019,year,2019,,line_item,41,General expenses,4110,Cape Town,CPT,6997651000
Audited Actual,AUDA,2019,year,2019,"sum(4010, 4020, 4030, 4040, 4050, 4060, 4070, 4080, 4090, 4100, 4110)",subtotal,42,Cash Payments by Type,4120,Cape Town,CPT,30984176000
Audited Actual,AUDA,2019,year,2019,,heading,43,Other Cash Flows/Payments by Type,4130,Cape Town,CPT,0
