amount_type.label,amount_type.code,financial_period.period,period_length.length,financial_year_end.year,item.composition,item.return_form_structure,item.position_in_return_form,item.label,item.code,demarcation.label,demarcation.code,amount.sum
Audited Actual,AUDA,2018,year,2018,,line_item,3,Cash and cash equivalents,0120,Buffalo City,BUF,1822330372
Audited Actual,AUDA,2018,year,2018,,line_item,4,Trade and other receivables from exchange transactions,0130,Buffalo City,BUF,732917881
Audited Actual,AUDA,2018,year,2018,,line_item,5,Receivables from non-exchange transactions,0140,Buffalo City,BUF,505000422
Audited Actual,AUDA,2018,year,2018,,line_item,6,Current portion of non-current receivables,0150,Buffalo City,BUF,2229
Audited Actual,AUDA,2018,year,2018,,line_item,7,Inventory,0160,Buffalo City,BUF,42764583
Audited Actual,AUDA,2018,year,2018,,line_item,8,VAT,0170,Buffalo City,BUF,4098798896
Audited Actual,AUDA,2018,year,2018,,line_item,9,Other current assets,0180,Buffalo City,BUF,7399567
Audited Actual,AUDA,2018,year,2018,,line_item,10,Non current assets,0190,Buffalo City,BUF,7209213950
Audited Actual,AUDA,2018,year,2018,,line_item,13,Investment property,0220,Buffalo City,BUF,427562994
Audited Actual,AUDA,2018,year,2018,,line_item,14,"Property, plant and equipment",0230,Buffalo City,BUF,18190186514
Audited Actual,AUDA,2018,year,2018,,line_item,17,Heritage assets,0260,Buffalo City,BUF,49779875
Audited Actual,AUDA,2018,year,2018,,line_item,18,Intangible assets,0270,Buffalo City,BUF,17280858
Audited Actual,AUDA,2018,year,2018,,line_item,21,Other non-current assets,0300,Buffalo City,BUF,121008277
Audited Actual,AUDA,2018,year,2018,,line_item,22,LIABILITIES,0310,Buffalo City,BUF,18805818518
Audited Actual,AUDA,2018,year,2018,,line_item,23,Current liabilities,0320,Buffalo City,BUF,26015032468
Audited Actual,AUDA,2018,year,2018,,line_item,27,Financial liabilities,0360,Buffalo City,BUF,52572024
Audited Actual,AUDA,2018,year,2018,,line_item,28,Consumer deposits,0370,Buffalo City,BUF,60851775
Audited Actual,AUDA,2018,year,2018,,line_item,29,Trade and other payables from exchange transactions,0380,Buffalo City,BUF,1025249297
Audited Actual,AUDA,2018,year,2018,,line_item,30,Trade and other payables from non-exchange transactions,0390,Buffalo City,BUF,282765360
Audited Actual,AUDA,2018,year,2018,,line_item,31,Provision,0400,Buffalo City,BUF,222538445
Audited Actual,AUDA,2018,year,2018,,line_item,32,VAT,0410,Buffalo City,BUF,3970976210
Audited Actual,AUDA,2018,year,2018,,line_item,33,Other current liabilities,0420,Buffalo City,BUF,-558282
