amount_type.label,amount_type.code,financial_period.period,period_length.length,financial_year_end.year,item.composition,item.return_form_structure,item.position_in_return_form,item.label,item.code,demarcation.label,demarcation.code,amount.sum
Audited Actual,AUDA,2019,year,2019,,line_item,2,Service charges - Electricity,300,Buffalo City,BUF,1783481082
Audited Actual,AUDA,2019,year,2019,,line_item,3,Service charges - Water,400,Buffalo City,BUF,503580318
Audited Actual,AUDA,2019,year,2019,,line_item,4,Service charges - Waste Water Management,500,Buffalo City,BUF,328922573
Audited Actual,AUDA,2019,year,2019,,line_item,5,Service charges - Waste Management,600,Buffalo City,BUF,251916126
Audited Actual,AUDA,2019,year,2019,,line_item,6,Sale of Goods and Rendering of Services,700,Buffalo City,BUF,95054546
Audited Actual,AUDA,2019,year,2019,,line_item,7,Agency services,800,Buffalo City,BUF,26817734
Audited Actual,AUDA,2019,year,2019,,line_item,9,Interest earned from Receivables,1000,Buffalo City,BUF,67093405
Audited Actual,AUDA,2019,year,2019,,line_item,10,Interest earned from Current and Non Current Assets,1100,Buffalo City,BUF,98690424
Audited Actual,AUDA,2019,year,2019,,line_item,13,Rental from Fixed Assets,1400,Buffalo City,BUF,22504973
Audited Actual,AUDA,2019,year,2019,,line_item,14,Licence and permits,1500,Buffalo City,BUF,117783137
Audited Actual,AUDA,2019,year,2019,,line_item,15,Operational Revenue,1600,Buffalo City,BUF,52374531
Audited Actual,AUDA,2019,year,2019,,line_item,17,Property rates,1800,Buffalo City,BUF,1295502965
Audited Actual,AUDA,2019,year,2019,,line_item,19,"Fines, penalties and forfeits",2000,Buffalo City,BUF,24938282
Audited Actual,AUDA,2019,year,2019,,line_item,20,Licences or permits,2100,Buffalo City,BUF,15156416
Audited Actual,AUDA,2019,year,2019,,line_item,21,Transfer and subsidies - Operational,2200,Buffalo City,BUF,803404023
Audited Actual,AUDA,2019,year,2019,,line_item,23,Fuel Levy,2400,Buffalo City,BUF,513844000
Audited Actual,AUDA,2019,year,2019,,line_item,25,Gains on disposal of Assets,2600,Buffalo City,BUF,2363
Audited Actual,AUDA,2019,year,2019,,line_item,26,Other Gains,2700,Buffalo City,BUF,10515511
Audited Actual,AUDA,2019,year,2019,,line_item,30,Employee related costs,3100,Buffalo City,BUF,2049371592
Audited Actual,AUDA,2019,year,2019,,line_item,31,Remuneration of councillors,3200,Buffalo City,BUF,62315521
Audited Actual,AUDA,2019,year,2019,,line_item,32,Bulk purchases - electricity,3300,Buffalo City,BUF,1395328547
Audited Actual,AUDA,2019,year,2019,,line_item,33,Inventory consumed,3400,Buffalo City,BUF,320707541
Audited Actual,AUDA,2019,year,2019,,line_item,35,Depreciation and amortisation,3600,Buffalo City,BUF,1299117181
Audited Actual,AUDA,2019,year,2019,,line_item,36,Interest,3700,Buffalo City,BUF,38467000
Audited Actual,AUDA,2019,year,2019,,line_item,37,Contracted services,3800,Buffalo City,BUF,677223552
Audited Actual,AUDA,2019,year,2019,,line_item,38,Transfers and subsidies,3900,Buffalo City,BUF,91703413
Audited Actual,AUDA,2019,year,2019,,line_item,39,Irrecoverable debts written off,4000,Buffalo City,BUF,373182710
Audited Actual,AUDA,2019,year,2019,,line_item,40,Operational costs,4100,Buffalo City,BUF,524722550
Audited Actual,AUDA,2019,year,2019,,line_item,41,Losses on disposal of Assets,4200,Buffalo City,BUF,45647913
Audited Actual,AUDA,2019,year,2019,,line_item,42,Other Losses,4300,Buffalo City,BUF,-7040
Audited Actual,AUDA,2019,year,2019,,line_item,43,Transfers and subsidies - capital (monetary allocations),4600,Buffalo City,BUF,998245137
Audited Actual,AUDA,2019,year,2019,,line_item,44,Transfers and subsidies - capital (in-kind),4700,Buffalo City,BUF,279066643
Audited Actual,AUDA,2019,year,2019,,line_item,45,Income Tax,4900,Buffalo City,BUF,602051
Audited Actual,AUDA,2019,year,2019,,line_item,49,Intercompany/Parent subsidiary transactions,5500,Buffalo City,BUF,29847217
Audited Actual,AUDA,2019,year,2019,,line_item,2,Service charges - Electricity,300,Cape Town,CPT,13061833252
Audited Actual,AUDA,2019,year,2019,,line_item,3,Service charges - Water,400,Cape Town,CPT,3127642446
Audited Actual,AUDA,2019,year,2019,,line_item,4,Service charges - Waste Water Management,500,Cape Town,CPT,1600850587
Audited Actual,AUDA,2019,year,2019,,line_item,5,Service charges - Waste Management,600,Cape Town,CPT,1138907165
Audited Actual,AUDA,2019,year,2019,,line_item,6,Sale of Goods and Rendering of Services,700,Cape Town,CPT,672106116
Audited Actual,AUDA,2019,year,2019,,line_item,7,Agency services,800,Cape Town,CPT,229879168
Audited Actual,AUDA,2019,year,2019,,line_item,9,Interest earned from Receivables,1000,Cape Town,CPT,269100783
Audited Actual,AUDA,2019,year,2019,,line_item,10,Interest earned from Current and Non Current Assets,1100,Cape Town,CPT,1136550270
Audited Actual,AUDA,2019,year,2019,,line_item,13,Rental from Fixed Assets,1400,Cape Town,CPT,545869041
Audited Actual,AUDA,2019,year,2019,,line_item,14,Licence and permits,1500,Cape Town,CPT,1081158825
Audited Actual,AUDA,2019,year,2019,,line_item,15,Operational Revenue,1600,Cape Town,CPT,301466009
Audited Actual,AUDA,2019,year,2019,,line_item,17,Property rates,1800,Cape Town,CPT,9542010643
Audited Actual,AUDA,2019,year,2019,,line_item,19,"Fines, penalties and forfeits",2000,Cape Town,CPT,1485756618
